FacultyName,CourseName,CourseDivision,Level,CourseDescription,Bonus Information
"Tsygankova, Valeria",Animals and Arguments,W HS,Introductory,"In 1903, American naturalist John Burroughs triggered a fierce public debate when he accused some of his peers of writing “sham natural history.” These other naturalists, Burroughs claimed, had given in to the major temptation lying in wait for all nature writers: “the danger of making too much of what we see and describe—of putting in too much sentiment, too much literature—in short, of valuing these things more for the literary effects we can get out of them than for themselves.” The ensuing debate over the responsible depiction of nonhuman nature went on for five years in the pages of popular magazines, drawing in dozens of writers and one U.S. president. More than a century later, we remember it as the “nature faker” controversy. But though this episode has taken its place in the history books, its unresolved tensions and questions live on, occupying nature writers and filmmakers to this day: How can writers tell stories that spark human interest in the natural world while doing justice to that world’s alterity? What does it mean to value nonhuman animals “for themselves” and not for the reasons we might project onto them? Are emotion and imagination incompatible with good nature writing? 

In this writing class, students will not only get to know this longstanding conversation; they will also be asked to weigh in. Students will study the strategies that help experienced writers make their own marks on existing debates: strategies for posing rich problems, analyzing texts, representing and responding to other voices, giving and using feedback, and otherwise developing a sustainable writing practice. Students will become better navigators of writing for various contexts and audiences by studying and practicing the ways in which public and scholarly writers convey their ideas to readers. Students will be evaluated on a rhetorical analysis of a single text; an analytical essay that incorporates multiple sources and makes an original argument; a reflection that analyzes their own approach to writing; participation in in-class work; and the completion of short, low-stakes assignments preparing them for class. This course will be helpful for new college students looking to establish a base of knowledge about analytical writing, as well as for students at any point in their college careers who want to dedicate some time to working on their writing.

Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS.",
"Little-Siebold, Todd","Apples: History, Horticulture, Culture, and Science",HS HY,Intermediate,"This three-credit integrated class will include fieldtrips, travel, on-campus classes, and independent project work. The class will explore the history of humans' relationship with apples (and fruit more generally) to explore the thousands of years of observing, eating, planting, and selecting that lay behind our love of apples. Students will learn about everything from the evolutionary history and geographic distribution of the Malus species to the history of apple cultivars in America. By 1900 there were perhaps 20,000 named varieties of apples in North America, and we will look at that explosion of diversity and then its loss in the 20th century. Students will work with trees, harvest fruit, and gain hands-on experience in orchards. The class will travel to the preeminent apple germplasm collection in the world in Geneva, NY, and will have the opportunity to explore the over 6,000 exemplars in the collection. Fieldtrips will also take us to commercial orchards, cider producers, local relict orchards, and conservation collections. Part of the class will be contributing to the work of tracking down, researching, and identifying old historic trees from around downeast Maine. This will require developing research skills, phenotypic identification skills, fruit exploration, and a wide range of other skills. We will also do deep dives on apple genetics, the deep history of agriculture, the introduction of European fruit in North America, changes to farming in Maine, and the conservation of heirloom crops.

The work of the class will include reading, writing, mapping, intensive fieldwork/fieldtrip experiences, hands-on elements, and a major independent research project. The class is appropriate for students with a very wide range of interests, but specific interests could include: history, food studies, horticulture, agriculture, genetics,and cultural heritage. This class will seek to integrate many fields of study to undertake a study of humans’ relationship with their food, the land, and the past through the focus on apples. Students will be evaluated on active participation in class discussion, completion of projects, field journals, written assignments, demonstration of phenotypic identification skills, capacity to learn in field settings, and a major independent project.

Level: Intermediate. Prerequisites: None. Class limit: 10. Lab fee: $400. Meets the following degree requirements: HS, HY.",
"Clinger, Catherine",Art Since 1900: Harmony and Conflict,AD HY,Introductory,"The artworks of Pablo Picasso and Hannah Höch; both the well-known and lesser-known artist made paintings and sculptures that facilitate our understanding of how people experienced the twentieth century.  Cubism, Surrealism, Expressionism, Minimalism, and more - these artist movements were initiated through group declarations of common aesthetic purpose. This art history survey looks at how their varied concerns with theories of the unconscious, radical political programs, social upheaval, and scientific discoveries were expressed through artistic production.  Anxiety, joy, curiosity, and activist predilection combine to formulate a rich amalgam of fresh and challenging visions of the world.  

Level: Introductory. Prerequisites: none. Lab fee: $25. Class Limit: 18.  Meets the following degree requirements: AD, HY",
"Soares, Zachary",Audio Production as Compositional Tool,ADS,Introductory,"In 1979, the music producer Brian Eno argued that the recording studio is a “compositional tool,” upending the idea that the recording studio exists to document pre-existing musical compositions. His assertion came on the back of pivotal albums such as The Beatles’ “Revolver” and The Beach Boys’ “Pet Sounds” (1966), which demonstrated the creative possibilities of composing in the studio. We might call this type of approach to music composition “playing the studio.” In this course, students learn how music production makes use of editing, mixing, and effect processing to maximize its impact. Through readings, film screenings, and audio listening sessions, students learn about past and present studio techniques and use these techniques during audio projects and exercises. Students learn to use virtual instruments, effect processors, microphones, and COA’s recording studio to strengthen their technical audio recording, editing, and mixing skills. Students will be evaluated based on their participation in class discussions, their fluency in the use of recording equipment and software, the process they use to approach each assignment, and the completion of assigned projects. No prerequisites or sound/music experience is required.

Level: Introductory. Prerequisites: None.  Class limit: 10. Lab fee: None.  Meets the following degree requirements: ADS.",
"Robbins, Dani",Beginning Contemporary Dance Technique,ADS,Introductory,"In this introductory level course, we’ll work to develop a movement practice that centers both self care and togetherness. This class will draw on a variety of contemporary practitioners and methods, relying on somatosensory feedback to access availability, spaciousness, presence and pleasure both individually and collectively. Students will investigate basic patterns of choreography, experimenting with principles of velocity and momentum and exploring personal and shared movement impulses. Assigned readings, screenings, and writing assignments will complement and support our physical practice. Students will be evaluated based on attendance, successful completion of assigned work, depth of engagement during class and with course materials, and the expansion of their individual movement capacities. All class meetings will take place in-person and on campus. Participants of diverse abilities, needs, and backgrounds are encouraged to enroll. Dance experience is welcomed, but not necessary.

Level: Introductory. Prerequisites: none. Class limit: 11. Lab fee: $30. Meets the following degree requirements: ADS.",
"Stephenson, Toby",Boat Systems and Operations,,Intermediate,"From the propeller to the anchor light, and from the windlass to the rudder, small passenger boats rely on organized systems that have been integrated into modern practice and regulation for over a century to ensure the safety of life at sea. This course explores how these vessels are structured, the safety systems they are typically equipped with, and the fundamentals of operating and managing them safely.

Students will learn what to expect and what to look for when boarding a commercial vessel, helping them prepare for accidents or unexpected situations that may pose safety risks. The course also examines different propulsion systems, enabling students to understand which options are best suited to various vessel designs, loads, and operating speeds.

In addition, students will develop basic boat-handling skills and safe operating practices, preparing them to navigate marine traffic in a prudent and responsible manner within what is often a fast-paced and complex environment.

This course is hands-on and highly experiential. Instruction will make use of the College’s workboat, Osprey, as well as a variety of local commercial vessels to illustrate how systems vary from boat to boat. Students will visit commercial boatyards to observe manufacturing techniques and will meet with Coast Guard personnel to learn about the standards and practices used to ensure maritime safety.

This course relies heavily on participation and attendance. Students that miss classes will not perform well as makeup opportunities will be difficult to arrange. There will be weekly tests and take-home problem sets on material learned the preceding week, and there will be a midterm and final assessment on all material discussed.

Level: Intermediate. Prerequisites: MD2018: Navigation: Skills, Tools, and the Drivers of Seafaring; MD1038: Introduction to Marine Navigation; or prior completion of RYA or comparable courses that provide a foundation in proper navigation methods. Class limit: 12. Lab fee: $50. Meets the following degree requirements: None.
",
"Neuhouser, Jeffry",Career Ecology Seminar,,Introductory,"In this course, students will develop a deep understanding of how their personal and professional identities intersect, how to apply and communicate their skills and interests through career experiences, and how to navigate a fulfilling and purposeful life. Students will first and foremost learn to look at their career development through the lens of career ecology, which is applying human ecology as a lens to examine one’s career experiences and professional identity within natural, social, and economic systems. The goal of seeing career development through a career ecology lens is to construct strong identity foundations and continue on a path to professional authenticity, finding one’s sense of purpose, and career fulfillment. 

This course is designed to meet all students where they are in their COA journey: from first-year exploration through seniors preparing for graduation. This class is useful before you complete your internship requirement, but can also help you prepare for post-graduation success. Students will learn how their career ecosystems and professional identities are deeply influenced by one's familial, cultural, regional, religious, historical, and spiritual experiences, as well as by personal beliefs, views, strengths, and abilities. We will further investigate ways in which one participates in ecosystems through paid work, volunteering, government service, research, writing, community service, leadership, and how to find mentorship and support. 

Students will learn through written reflections, participating in course discussions on readings and with course visitors, completing career assessments like the Clifton Strengths to understand personal strengths and values, completing professional writing assignments like resumes and cover letters, participating in hands-on networking and interviewing practice, and reading and incorporating design thinking strategies from the text Designing Your Life (Burnett & Evans, 2016). 

Evaluation and assessment will be based on active participation in course discussions (discussions on readings and with course visitors), completing professional writing assignments (e.g., resumes and cover letters), reflection essays, and oral presentations. 

Level: Introductory. Prerequisites: None. Class limit: 20.  Lab fee: $25.  Meets the following degree requirements: None.",
"Stabinsky, Doreen",Comparative Global Politics of Biodiversity & Climate Change,HS,Intermediate/Advanced,"Climate change and biological diversity are prominent issues on the global political and environmental governance agendas and in public environmental consciousness. Each issue will be the focus of a major United Nations summit in 2026. At these meetings, Parties to the UN Convention on Biological Diversity (UN CBD) and to the UN Framework Convention on Climate Change (UNFCCC) will carry on with implementation of these major international environmental treaties. Meanwhile, public narratives of the escalating and intersecting dual “crises” of climate change and biodiversity loss provide a broader context for questioning the role and effectiveness of intergovernmental treaty regimes in addressing these crises. 
This course will take a comparative and critical look at these two multilateral treaty regimes on biological diversity and climate change. Students will study legal characteristics of each of the treaties, how problems are defined and addressed within each, mechanisms used for implementation, and the governmental and non-governmental actors involved in the work of treaty implementation. We will also look at how these two treaty bodies work together to address issues at the intersection of climate change and biological diversity. Finally, we will spend some time in the course reading a range of theoretical perspectives and pondering larger political and philosophical questions: Are our current intergovernmental institutions up to the challenge of addressing these immense planetary challenges? What are the potentials of and limits to intergovernmental spaces and collective action that might we discern? What role might there be for non-governmental actors and social movements to contest and construct more effective regimes? How does a study of these regimes help us imagine what a global politics of the terrestrial might look like?
Students will be evaluated based on their participation in class discussions, dedication to preparation for and participation at one of the meetings, and a final project related to one of the treaty regimes. 

Level: Intermediate/Advanced. Prerequisites: Permission of instructor. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS",
"Greenlief , Phillip",Composer's Ensemble,ADS,Introductory/Intermediate,"Using traditional music notation and a variety of non-traditional notation techniques, The Composer’s Ensemble will offer a fun series of sessions where we study ways that composers have used words (text scores), images (graphic scores), game strategies, collage, and iconic symbols to create open works that encourage students to develop their individual compositional voices and one-of-a-kind performances. 

We will start by defining what music is, how it works, what its principal components are, and then learn how to organize those elements in a variety of methods and perform the outcomes. The instructor will provide a variety of scores that have influenced his compositional output along with his own works. Ideally, we will spend equal time studying scores and playing/preparing music for a final concert. Classes will meet twice a week: one 90 minute ensemble section, and another 90 minute ensemble section that will culminate with a 90 minute session where the instructor can offer individual instruction/support and sectional or group rehearsal. 

Students will study scores by: Anthony Braxton (Language Modalities), Pauline Oliveros (Text Scores), Wadada Leo Smith (Scaffold Scores), John Cage (Time Based Scores), Phillip Greenlief (Graphic Scores) John Zorn, Rova Saxophone Quartet (Game Strategies)

Evaluation will be based on: in-class participation and attendance; composition (composing) assignments; and written essays, reviews, etc.

Level: Introductory/Intermediate. Prerequisites: Students should possess intermediate musical fluency, a good deal of curiosity and openness, and an interest in developing their own voice on their primary instrument. Class limit: 12. Lab fee: None. Meets the following degree requirements: ADS.",
"McKown, Jamie",Congressional Elections Workshop,HS,Intermediate,"This class will be an intensive, immersive exploration of Congressional elections in the United States. It runs only in the Fall of midterm Congressional election years, using the current campaign as a lens through which to explore a wide array of issues related to Congressional elections specifically, as well as elections in the US generally. It is structured as a working lab that is supplemented with a series of discussion and lecture sessions. Regular discussion and lecture sessions will provide students with a crash course in interdisciplinary approaches to a range of issues related to the conduct of US Congressional elections. This may include examinations of the history of campaigns, campaign advertising and messaging, the structure of elections, the conduct of voting and voter access, campaign finance reform, empirical research on campaign effects and outcomes, polling and poll methodology, campaign organization and administrative structure, best practices for GOTV and targeted mobilization, etc. Students will combine into teams to conduct term long tracking projects focused on the upcoming US Congressional election. This may include battleground state profiling, campaign finance monitoring, litigation tracking, advertising and media placement, debate watches, candidate travel schedules, etc. A great deal of what will be covered will depend on the nature of the current campaign in that particular year and which issues are most salient. The remaining class sessions after the election will focus on debriefing the results as well as addressing any outstanding issues that linger beyond election day (e.g. disputes over election counts and the certification of results). Students will be evaluated on the basis of their engagement with class sessions and other class related activities, their work for their tracking projects, short-form response papers related to discussion topics, their debrief reports, and check-in meetings with the instructor. This class is open to a wide range of students with varied interests. Given the working lab nature of the class, it is flexible enough to accommodate both students who have had extensive experience with politics and campaigning in the US context, as well as students for whom this will be their first exposure to anything campaign related, and everyone else in between. However, all students, regardless of their background, should be prepared to adapt to a fluid and changing electoral landscape, especially in the days leading up to the election. This may necessitate scheduling evening sessions outside of normal class time, responding to unfolding events, and pivoting topics on short notice.

Level: Intermediate. Prerequisites: none. Class limit: 16. Lab fee: None. Meets the following degree requirements: HS.",
